mission_id,tier,question,answer_key,grading_type,explanation_link
MIS101,1,Tier 1 mission 1: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS102,1,Tier 1 mission 2: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS103,1,Tier 1 mission 3: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS104,1,Tier 1 mission 4: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS105,1,Tier 1 mission 5: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS106,1,Tier 1 mission 6: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS201,2,Tier 2 mission 1: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS202,2,Tier 2 mission 2: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS203,2,Tier 2 mission 3: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS204,2,Tier 2 mission 4: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS205,2,Tier 2 mission 5: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS206,2,Tier 2 mission 6: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS301,3,Tier 3 mission 1: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS302,3,Tier 3 mission 2: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS303,3,Tier 3 mission 3: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS304,3,Tier 3 mission 4: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS305,3,Tier 3 mission 5: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
MIS306,3,Tier 3 mission 6: Identify a noisy pattern in a zone and propose a mitigation (synthetic).,Expected: select a top hotspot time window + pick a plausible intervention type.,rubric,internal://docs/mitigation_tips
