intervention_id,type,cost_band,feasibility_score,impact_range_db,notes
I01,signage,low,8,2-5,Install quiet zone signs
I02,barriers,medium,6,5-10,Noise barriers
I03,scheduling_changes,low,7,3-7,Adjust event times
I04,quiet_hours,low,9,4-8,Enforce quiet hours
I05,maintenance,medium,5,1-3,Equipment maintenance
I06,education,low,8,1-4,Community education
I07,zoning,high,4,5-15,Change zoning laws
I08,monitoring,medium,7,0-2,Increase monitoring
I09,insulation,high,5,6-12,Building insulation
I10,traffic_control,medium,6,4-9,Traffic calming
I11,green_spaces,high,6,2-6,Add green buffers
I12,curfews,low,8,3-7,Event curfews
I13,subsidies,medium,7,1-5,Subsidize quiet tech
I14,partnerships,low,9,0-3,Community partnerships
I15,regulations,high,3,7-20,New noise regulations
